Team,a,m,d,mean
Qatar,0,0,0,0
Ecuador,74.6,73.8,71.4,73.26666667
Senegal,76.8,77,76.1,76.63333333
Netherlands,80.6,82.1,82.8,81.83333333
England,85.3,83.6,83.5,84.13333333
Iran,70.3,68.1,68.2,68.86666667
United States,74.3,75.9,74.4,74.86666667
Wales,68.3,73.7,72.2,71.4
Argentina,85.6,82.6,79.8,82.66666667
Saudi Arabia,65.2,70.2,69.6,68.33333333
Mexico,78.7,78.5,76.8,78
Poland,73.2,74.1,73.4,73.56666667
France,84.6,83.7,83.1,83.8
IC-PlayOff1(Peru),73.1,71.4,69,71.16666667
Denmark,76.8,78,77.6,77.46666667
Tunisia,68.2,71.2,67.3,68.9
Spain,84,85.6,84.4,84.66666667
IC-PlayOff2(Costa Rica),66.8,69.1,67.1,67.66666667
Germany,83.6,85.7,83.2,84.16666667
Japan,74.1,76,73.3,74.46666667
Belgium,82.5,82.7,78.3,81.16666667
Canada,69.7,73.3,69.5,70.83333333
Morocco,78.4,76.6,77.5,77.5
Croatia,78,82,76.7,78.9
Brazil,83.1,85.2,83.6,83.96666667
Serbia,76.7,79.6,76,77.43333333
Switzerland,74.3,77.5,76.9,76.23333333
Cameroon,74.7,73.7,74,74.13333333
Portugal,82.9,83.1,81.8,82.6
Ghana,74.4,75.8,73.6,74.6
Uruguay,79.3,78.6,78.5,78.8
Korea Republic,73.7,71.7,68.9,71.43333333
Gana,0,0,0,0
